source_type,target_type,object_class,permissions,violation_class
user_t,user_home_t,dir,read,0
user_t,user_home_t,dir,write,0
user_t,user_home_t,dir,search,0
staff_t,staff_home_t,dir,read,0
staff_t,staff_home_t,dir,write,0
staff_t,staff_home_t,dir,search,0
sysadm_t,admin_home_t,dir,read,0
sysadm_t,admin_home_t,dir,write,0
sysadm_t,admin_home_t,dir,search,0
httpd_t,httpd_config_t,file,read,0
httpd_t,httpd_config_t,file,getattr,0
ftpd_t,ftpd_config_t,file,read,0
ftpd_t,ftpd_config_t,file,getattr,0
mysqld_t,mysqld_db_t,dir,read,0
mysqld_t,mysqld_db_t,dir,write,0
mysqld_t,mysqld_db_t,dir,add_name,0
mysqld_t,mysqld_db_t,dir,remove_name,0
named_t,named_zone_t,file,read,0
named_t,named_zone_t,file,write,0
postfix_t,postfix_config_t,file,read,0
postfix_t,postfix_config_t,file,getattr,0
sshd_t,sshd_key_t,file,read,0
cron_t,cron_spool_t,dir,read,0
cron_t,cron_spool_t,dir,write,0
cron_t,cron_spool_t,dir,add_name,0
cron_t,cron_spool_t,dir,remove_name,0
logrotate_t,var_log_t,file,read,0
logrotate_t,var_log_t,file,write,0
logrotate_t,var_log_t,file,create,0
logrotate_t,var_log_t,file,unlink,0
ntp_t,ntp_conf_t,file,read,0
rsync_t,backup_store_t,dir,read,0
rsync_t,backup_store_t,dir,write,0
rsync_t,backup_store_t,dir,add_name,0
rsync_t,backup_store_t,dir,remove_name,0
audit_t,audit_log_t,file,append,0
udev_t,dev_t,dir,read,0
udev_t,dev_t,dir,write,0
udev_t,dev_t,dir,add_name,0
udev_t,dev_t,dir,remove_name,0
httpd_t,http_port_t,tcp_socket,name_connect,0
ftpd_t,ftp_port_t,tcp_socket,name_connect,0
mysqld_t,mysql_port_t,tcp_socket,name_connect,0
named_t,dns_port_t,udp_socket,name_connect,0
postfix_t,smtp_port_t,tcp_socket,name_connect,0
sshd_t,ssh_port_t,tcp_socket,name_connect,0
ntp_t,ntp_port_t,udp_socket,name_connect,0
user_t,shadow_t,file,read,1
user_t,shadow_t,file,write,1
httpd_t,httpd_content_t,file,read,2
httpd_t,httpd_content_t,file,write,2
httpd_t,httpd_content_t,file,append,2
httpd_t,httpd_content_t,file,create,2
httpd_t,httpd_content_t,file,unlink,2
ftpd_t,user_home_t,dir,read,2
ftpd_t,user_home_t,dir,write,2
ftpd_t,user_home_t,dir,search,2
ftpd_t,user_home_t,dir,add_name,2
ftpd_t,user_home_t,dir,remove_name,2
mysqld_t,etc_t,file,read,2
mysqld_t,etc_t,file,write,2
sysadm_t,user_t,process,transition,3
httpd_t,httpd_exec_t,file,entrypoint,3
named_t,named_exec_t,file,entrypoint,3
user_t,selinux_config_t,file,write,4
sysadm_t,selinux_config_t,file,read,4
httpd_t,http_port_t,tcp_socket,name_connect,5
httpd_t,http_port_t,tcp_socket,bind,5
ftpd_t,ftp_port_t,tcp_socket,bind,6
mysqld_t,httpd_content_t,dir,read,7
mysqld_t,httpd_content_t,dir,write,7
init_t,httpd_t,process,transition,8
httpd_t,var_t,file,read,8
httpd_t,var_t,file,write,8
user_t,sysfs_t,filesystem,mount,9
httpd_t,ftp_port_t,tcp_socket,name_connect,10
staff_t,mysql_port_t,tcp_socket,name_connect,10
user_t,kernel_t,security,load_policy,3
sysadm_t,proc_t,filesystem,remount,4
secadm_t,security_t,security,setenforce,0
secadm_t,security_t,security,setbool,0
system_t,etc_t,file,read,0
system_t,etc_t,file,getattr,0
kernel_t,dev_t,filesystem,associate,0
init_t,passwd_file_t,file,read,0
user_t,tty_device_t,chr_file,read,0
user_t,tty_device_t,chr_file,write,0
staff_t,null_device_t,chr_file,read,0
staff_t,null_device_t,chr_file,write,0
sysadm_t,zero_device_t,chr_file,read,0
sysadm_t,zero_device_t,chr_file,write,0
httpd_t,random_device_t,chr_file,read,0
user_t,proc_fs_t,filesystem,getattr,0
staff_t,sysfs_t,filesystem,read,0
sysadm_t,selinuxfs_t,filesystem,getattr,0
sysadm_t,selinuxfs_t,filesystem,mount,0
system_t,tmpfs_t,filesystem,mount,0
system_t,tmpfs_t,filesystem,unmount,0
user_t,user_home_t,dir,read,0
user_t,user_home_t,dir,write,0
user_t,user_home_t,dir,search,0
staff_t,staff_home_t,dir,read,0
staff_t,staff_home_t,dir,write,0
staff_t,staff_home_t,dir,search,0
sysadm_t,admin_home_t,dir,read,0
sysadm_t,admin_home_t,dir,write,0
sysadm_t,admin_home_t,dir,search,0
httpd_t,httpd_config_t,file,read,0
httpd_t,httpd_config_t,file,getattr,0
ftpd_t,ftpd_config_t,file,read,0
ftpd_t,ftpd_config_t,file,getattr,0
mysqld_t,mysqld_db_t,dir,read,0
mysqld_t,mysqld_db_t,dir,write,0
mysqld_t,mysqld_db_t,dir,add_name,0
mysqld_t,mysqld_db_t,dir,remove_name,0
named_t,named_zone_t,file,read,0
named_t,named_zone_t,file,write,0
postfix_t,postfix_config_t,file,read,0
postfix_t,postfix_config_t,file,getattr,0
sshd_t,sshd_key_t,file,read,0
cron_t,cron_spool_t,dir,read,0
cron_t,cron_spool_t,dir,write,0
cron_t,cron_spool_t,dir,add_name,0
cron_t,cron_spool_t,dir,remove_name,0
logrotate_t,var_log_t,file,read,0
logrotate_t,var_log_t,file,write,0
logrotate_t,var_log_t,file,create,0
logrotate_t,var_log_t,file,unlink,0
ntp_t,ntp_conf_t,file,read,0
rsync_t,backup_store_t,dir,read,0
rsync_t,backup_store_t,dir,write,0
rsync_t,backup_store_t,dir,add_name,0
rsync_t,backup_store_t,dir,remove_name,0
audit_t,audit_log_t,file,append,0
udev_t,dev_t,dir,read,0
udev_t,dev_t,dir,write,0
udev_t,dev_t,dir,add_name,0
udev_t,dev_t,dir,remove_name,0
httpd_t,http_port_t,tcp_socket,name_connect,0
ftpd_t,ftp_port_t,tcp_socket,name_connect,0
mysqld_t,mysql_port_t,tcp_socket,name_connect,0
named_t,dns_port_t,udp_socket,name_connect,0
postfix_t,smtp_port_t,tcp_socket,name_connect,0
sshd_t,ssh_port_t,tcp_socket,name_connect,0
ntp_t,ntp_port_t,udp_socket,name_connect,0
secadm_t,security_t,security,setenforce,0
secadm_t,security_t,security,setbool,0
system_t,etc_t,file,read,0
system_t,etc_t,file,getattr,0
kernel_t,dev_t,filesystem,associate,0
init_t,passwd_file_t,file,read,0
user_t,tty_device_t,chr_file,read,0
user_t,tty_device_t,chr_file,write,0
staff_t,null_device_t,chr_file,read,0
staff_t,null_device_t,chr_file,write,0
sysadm_t,zero_device_t,chr_file,read,0
sysadm_t,zero_device_t,chr_file,write,0
httpd_t,random_device_t,chr_file,read,0
user_t,proc_fs_t,filesystem,getattr,0
staff_t,sysfs_t,filesystem,read,0
sysadm_t,selinuxfs_t,filesystem,getattr,0
sysadm_t,selinuxfs_t,filesystem,mount,0
system_t,tmpfs_t,filesystem,mount,0
system_t,tmpfs_t,filesystem,unmount,0
user_t,shadow_t,file,read,1
user_t,shadow_t,file,write,1
staff_t,passwd_file_t,file,read,1
staff_t,passwd_file_t,file,write,1
sysadm_t,audit_log_t,file,read,1
sysadm_t,audit_log_t,file,write,1
sysadm_t,audit_log_t,file,append,1
httpd_t,httpd_content_t,file,read,1
httpd_t,httpd_content_t,file,write,1
httpd_t,httpd_content_t,file,append,1
httpd_t,httpd_content_t,file,create,1
httpd_t,httpd_content_t,file,unlink,1
ftpd_t,ftpd_config_t,file,read,1
ftpd_t,ftpd_config_t,file,write,1
ftpd_t,ftpd_config_t,file,append,1
mysqld_t,mysqld_db_t,file,read,1
mysqld_t,mysqld_db_t,file,write,1
mysqld_t,mysqld_db_t,file,append,1
mysqld_t,mysqld_db_t,file,create,1
mysqld_t,mysqld_db_t,file,unlink,1
named_t,named_zone_t,file,read,1
named_t,named_zone_t,file,write,1
named_t,named_zone_t,file,append,1
named_t,named_zone_t,file,create,1
named_t,named_zone_t,file,unlink,1
postfix_t,postfix_config_t,file,read,1
postfix_t,postfix_config_t,file,write,1
postfix_t,postfix_config_t,file,append,1
httpd_t,httpd_content_t,file,read,2
httpd_t,httpd_content_t,file,write,2
httpd_t,httpd_content_t,file,append,2
httpd_t,httpd_content_t,file,create,2
httpd_t,httpd_content_t,file,unlink,2
ftpd_t,user_home_t,dir,read,2
ftpd_t,user_home_t,dir,write,2
ftpd_t,user_home_t,dir,search,2
ftpd_t,user_home_t,dir,add_name,2
ftpd_t,user_home_t,dir,remove_name,2
mysqld_t,etc_t,file,read,2
mysqld_t,etc_t,file,write,2
named_t,var_t,dir,read,2
named_t,var_t,dir,write,2
named_t,var_t,dir,add_name,2
named_t,var_t,dir,remove_name,2
postfix_t,tmp_t,file,read,2
postfix_t,tmp_t,file,write,2
postfix_t,tmp_t,file,append,2
postfix_t,tmp_t,file,create,2
postfix_t,tmp_t,file,unlink,2
sshd_t,user_home_t,dir,read,2
sshd_t,user_home_t,dir,write,2
sshd_t,user_home_t,dir,search,2
sshd_t,user_home_t,dir,add_name,2
sshd_t,user_home_t,dir,remove_name,2
cron_t,var_t,dir,read,2
cron_t,var_t,dir,write,2
cron_t,var_t,dir,add_name,2
cron_t,var_t,dir,remove_name,2
logrotate_t,etc_t,file,read,2
logrotate_t,etc_t,file,write,2
ntp_t,var_t,dir,read,2
ntp_t,var_t,dir,write,2
ntp_t,var_t,dir,add_name,2
ntp_t,var_t,dir,remove_name,2
rsync_t,user_home_t,dir,read,2
rsync_t,user_home_t,dir,write,2
rsync_t,user_home_t,dir,search,2
rsync_t,user_home_t,dir,add_name,2
rsync_t,user_home_t,dir,remove_name,2
sysadm_t,user_t,process,transition,3
httpd_t,sysadm_t,process,transition,3
ftpd_t,sysadm_t,process,transition,3
mysqld_t,sysadm_t,process,transition,3
named_t,sysadm_t,process,transition,3
postfix_t,sysadm_t,process,transition,3
sshd_t,sysadm_t,process,transition,3
cron_t,sysadm_t,process,transition,3
